Record ID,Image,Label,ROI pixels
1,sand1-a-p001.png,1,38513
2,sand1-a-p002.png,1,33340
3,sand1-a-p003.png,1,71101
4,sand1-a-p004.png,1,33340
5,sand1-a-p005.png,1,38513
6,sand1-a-p006.png,1,33340
7,sand1-a-p007.png,1,71101
8,sand1-a-p008.png,1,38513
9,sand1-a-p009.png,1,33340
10,sand1-a-p010.png,1,71101
11,sand1-a-p011.png,1,43142
12,sand1-a-p012.png,1,38513
13,sand1-a-p013.png,1,71101
14,sand1-a-p014.png,1,71101
15,sand1-a-p015.png,1,43142
16,sand1-a-p016.png,1,71101
17,sand1-a-p017.png,1,71101
18,sand1-a-p018.png,1,79026
19,sand1-a-p019.png,1,79026
20,sand1-a-p020.png,1,71101
21,sand1-a-p021.png,1,79026
22,sand1-a-p022.png,1,38513
23,sand1-a-p023.png,1,43142
24,sand1-a-p024.png,1,43142
25,sand1-a-p025.png,1,33340
26,sand1-a-p026.png,1,33340
27,sand1-a-p027.png,1,43142
28,sand1-a-p028.png,1,79026
29,sand1-a-p029.png,1,38513
30,sand1-a-p030.png,1,79026
31,sand1-a-p031.png,1,43142
32,sand1-a-p032.png,1,71101
33,sand1-a-p033.png,1,71101
34,sand1-a-p034.png,1,38513
35,sand1-a-p035.png,1,71101
36,sand1-a-p036.png,1,33340
37,sand1-a-p037.png,1,71101
38,sand1-a-p038.png,1,33340
39,sand1-a-p039.png,1,38513
40,sand1-a-p040.png,1,71101
41,stone1-a-p001.png,0,38513
42,stone1-a-p002.png,0,43142
43,stone1-a-p003.png,0,38513
44,stone1-a-p004.png,0,43142
45,stone1-a-p005.png,0,79026
46,stone1-a-p006.png,0,71101
47,stone1-a-p007.png,0,79026
48,stone1-a-p008.png,0,71101
49,stone1-a-p009.png,0,43142
50,stone1-a-p010.png,0,71101
51,stone1-a-p011.png,0,38513
52,stone1-a-p012.png,0,43142
53,stone1-a-p013.png,0,33340
54,stone1-a-p014.png,0,38513
55,stone1-a-p015.png,0,79026
56,stone1-a-p016.png,0,71101
57,stone1-a-p017.png,0,43142
58,stone1-a-p018.png,0,79026
59,stone1-a-p019.png,0,33340
60,stone1-a-p020.png,0,33340
61,stone1-a-p021.png,0,38513
62,stone1-a-p022.png,0,79026
63,stone1-a-p023.png,0,38513
64,stone1-a-p024.png,0,38513
65,stone1-a-p025.png,0,33340
66,stone1-a-p026.png,0,33340
67,stone1-a-p027.png,0,71101
68,stone1-a-p028.png,0,43142
69,stone1-a-p029.png,0,71101
70,stone1-a-p030.png,0,33340
71,stone1-a-p031.png,0,43142
72,stone1-a-p032.png,0,71101
73,stone1-a-p033.png,0,38513
74,stone1-a-p034.png,0,33340
75,stone1-a-p035.png,0,43142
76,stone1-a-p036.png,0,38513
77,stone1-a-p037.png,0,71101
78,stone1-a-p038.png,0,43142
79,stone1-a-p039.png,0,38513
80,stone1-a-p040.png,0,79026
